Date,Temp High,Temp Low,Precipitation,Year
2014-2-14,80.87,53.33,0.0,2014
2014-2-15,80.51,55.12,0.001,2014
2014-2-16,73.94,56.34,0.001,2014
2014-2-17,68.83,53.55,0.0015,2014
2014-2-18,68.1,54.92,0.0,2014
2014-2-19,67.7,53.76,0.0,2014
2014-2-20,81.89,53.12,0.002,2014
2014-2-21,79.17,56.99,0.0,2014
2014-2-22,73.1,53.31,0.0,2014
2014-2-23,73.7,51.94,0.0,2014
2014-2-24,72.88,52.03,0.0,2014
2014-2-25,70.06,54.63,0.0,2014
2014-2-26,64.91,56.83,0.0515,2014
2014-2-27,69.22,56.97,0.5295,2014
2014-2-28,60.89,55.85,0.8625,2014
2014-3-1,60.52,52.58,0.46299999999999997,2014
2014-3-2,60.81,52.41,0.0205,2014
2014-3-3,68.92,51.53,0.004,2014
2014-3-4,68.33,53.85,0.003,2014
2014-3-5,73.95,54.78,0.0035,2014
2014-3-6,71.81,58.09,0.0,2014
2014-3-7,72.06,56.32,0.0,2014
2014-3-8,81.59,55.94,0.0,2014
2014-3-9,83.88,60.95,0.0,2014
2014-3-10,80.08,57.6,0.0,2014
2014-3-11,76.32,55.21,0.0,2014
2014-3-12,78.19,55.73,0.0,2014
2014-3-13,70.6,56.99,0.0,2014
2014-3-14,73.12,52.26,0.001,2014
2014-3-15,82.91,54.76,0.0,2014
2014-3-16,90.29,60.05,0.0,2014
2014-3-17,75.56,58.25,0.0,2014
2014-3-18,74.32,56.8,0.0,2014
2014-3-19,76.76,54.76,0.0,2014
2014-3-20,73.25,55.99,0.0,2014
2014-3-21,67.8,55.32,0.0,2014
2014-3-22,66.51,56.46,0.0,2014
2014-3-23,69.53,52.7,0.0,2014
2014-3-24,68.47,57.51,0.0,2014
2014-3-25,64.2,57.27,0.0,2014
2014-3-26,64.1,55.24,0.0525,2014
2014-3-27,65.65,51.47,0.0,2014
2014-3-28,69.88,52.85,0.0,2014
2014-3-29,75.57,53.28,0.0,2014
2014-3-30,70.95,55.83,0.0,2014
2014-3-31,65.61,51.59,0.0025,2014
2014-4-1,62.28,51.0,0.303,2014
2014-4-2,60.51,47.83,0.22699999999999998,2014
2014-4-3,67.54,46.71,0.0,2014
2014-4-4,64.96,51.05,0.0,2014
2014-4-5,67.63,50.6,0.0,2014
2014-4-6,80.03,52.92,0.0,2014
2014-4-7,85.97,57.46,0.0,2014
2014-4-8,90.77,60.1,0.0,2014
2014-4-9,90.42,59.91,0.0,2014
2014-4-10,83.9,54.35,0.0,2014
2014-4-11,79.15,57.78,0.0,2014
2014-4-12,67.11,56.56,0.0,2014
2014-4-13,67.57,56.44,0.0,2014
2014-4-14,80.74,53.44,0.0,2014
2014-4-15,76.73,57.57,0.0,2014
2014-4-16,73.08,57.23,0.0,2014
2014-4-17,70.47,58.56,0.0,2014
2014-4-18,70.48,59.89,0.002,2014
2014-4-19,74.21,55.96,0.0,2014
2014-4-20,78.16,57.14,0.0,2014
2014-4-21,79.83,58.49,0.0,2014
2014-4-22,70.48,59.09,0.0,2014
2014-4-23,72.5,53.9,0.0,2014
2014-4-24,77.9,55.43,0.0,2014
2014-4-25,69.15,56.23,0.19,2014
2014-4-26,66.39,50.69,0.205,2014
2014-4-27,68.18,52.25,0.0,2014
2014-4-28,79.34,55.14,0.0,2014
2014-4-29,91.04,63.34,0.0,2014
2014-4-30,91.0,67.47,0.0,2014
2014-5-1,92.03,67.41,0.0,2014
2014-5-2,95.03,66.01,0.0,2014
2014-5-3,89.4,64.23,0.0,2014
2014-5-4,82.19,60.52,0.0,2014
2014-5-5,71.3,57.84,0.0,2014
2014-5-6,65.41,54.67,0.002,2014
2014-5-7,66.95,53.95,0.0,2014
2014-5-8,70.34,54.86,0.0,2014
2014-5-9,72.12,55.06,0.0,2014
2014-5-10,72.62,58.43,0.0,2014
2014-5-11,80.72,58.57,0.0,2014
2014-5-12,89.59,61.58,0.0,2014
2014-5-13,93.43,67.52,0.0,2014
2014-5-14,98.56,68.75,0.0,2014
2014-5-15,101.36,71.45,0.0,2014
2014-5-16,93.64,69.84,0.0,2014
2014-5-17,81.71,64.87,0.0,2014
2014-5-18,75.66,62.49,0.0,2014
2014-5-19,73.27,61.35,0.0,2014
2014-5-20,68.14,58.36,0.0,2014
2014-5-21,70.67,56.15,0.0,2014
2014-5-22,68.66,58.14,0.004,2014
2014-5-23,71.41,61.21,0.0,2014
